Block,Reward360,Reward180,Reward90,RewardFlexible
89008,205464613634334946298950,154098460225751209724213,102732306817167473149475,51366153408583736574737
90008,208039579924661605399952,156029684943496204049964,104019789962330802699976,52009894981165401349988
91008,210613905148835564305865,157960428861626673229399,105306952574417782152932,52653476287208891076466
92008,213187589499147839786251,159890692124360879839688,106593794749573919893125,53296897374786959946562
93008,215760633167831759327697,161820474875873819495772,107880316583915879663848,53940158291957939831924
94008,218333036347062961133823,163749777260297220850367,109166518173531480566911,54583259086765740283455
95008,220904799228959496268943,165678599421719622201707,110452399614479748134471,55226199807239874067235
96008,223475922005581719218427,167606941504186289413820,111737961002790859609213,55868980501395429804606
97008,226046404868932433808218,169534803651699325356163,113023202434466216904109,56511601217233108452054
98008,228616248010956812949100,171462186008217609711825,114308124005478406474550,57154062002739203237275
99008,231185451623542478892430,173389088717656859169322,115592725811771239446215,57796362905885619723107
100008,233754015898519481342216,175315511923889611006662,116877007949259740671108,58438503974629870335554
101008,236321941027660355822921,177241455770745266867190,118160970513830177911460,59080485256915088955730
102008,238889227202680058015677,179166920402010043511757,119444613601340029007838,59722306800670014503919
103008,241455874615236102381836,181091905961427076786377,120727937307618051190918,60363968653809025595459
104008,244021883456928481907231,183016412592696361430423,122010941728464240953615,61005470864232120476807
105008,246587253919299726469979,184940440439474794852484,123293626959649863234989,61646813479824931617494
106008,249151986193834888248540,186863989645376166186405,124575993096917444124270,62287996548458722062135
107008,251716080471961629273419,188787060353971221955064,125858040235980814636709,62929020117990407318354
108008,254279536945050141171437,190709652708787605878577,127139768472525070585718,63569884236262535292859
109008,256842355804413247309390,192631766853309935482042,128421177902206623654695,64210588951103311827347
110008,259404537241306373610151,194553402930979780207613,129702268620653186805075,64851134310326593402537
111008,261966081446927592328521,196474561085195694246391,130983040723463796164260,65491520361731898082130
112008,264526988612417585571352,198395241459313189178514,132263494306208792785676,66131747153104396392838
113008,267087258928859769329138,200315444196644826996854,133543629464429884664569,66771814732214942332284
114008,269646892587280154852474,202235169440460116139355,134823446293640077426237,67411723146820038713118
115008,272205889778647538347426,204154417333985653760569,136102944889323769173713,68051472444661884586856
116008,274764250693873384239923,206073188020405038179942,137382125346936692119961,68691062673468346059980
117008,277321975523811905431488,207991481642858929073616,138660987761905952715744,69330493880952976357872
118008,279879064459260056003264,209909298344445042002448,139939532229630028001632,69969766114815014000816
119008,282435517690957604175772,211826638268218203131829,141217758845478802087886,70608879422739401043943
120008,284991335409587044757204,213743501557190283567903,142495667704793522378602,71247833852396761189301
121008,287546517805773701287082,215659888354330275965312,143773258902886850643541,71886629451443425321770
122008,290101065070085711444311,217575798802564283583233,145050532535042855722155,72525266267521427861077
123008,292654977393034092710957,219491233044775569533218,146327488696517046355478,73163744348258523177739
124008,295208254965072669412495,221406191223804502059371,147604127482536334706247,73802063741268167353123
125008,297760897976598145677563,223320673482448609258172,148880448988299072838781,74440224494149536419390
126008,300312906617950120029917,225234679963462590022438,150156453308975060014958,75078226654487530007479
127008,302864281079411129164286,227148210809558346873214,151432140539705564582143,75716070269852782291071
128008,305415021551206560394662,229061266163404920295996,152707510775603280197331,76353755387801640098665
129008,307965128223504834053697,230973846167628625540273,153982564111752417026848,76991282055876208513424
130008,310514601286417250277213,232885950964812937707909,155257300643208625138606,77628650321604312569303
131008,313063440929998120331762,234797580697498590248821,156531720464999060165881,78265860232499530082940
132008,315611647344244737430730,236708735508183553073048,157805823672122368715365,78902911836061184357682
133008,318159220719097427806166,238619415539323070854624,159079610359548713903083,79539805179774356951541
134008,320706161244439514228899,240529620933329635671674,160353080622219757114449,80176540311109878557224
135008,323252469110097381672328,242439351832573036254246,161626234555048690836164,80813117277524345418082
136008,325798144505840440832540,244348608379380330624405,162899072252920220416270,81449536126460110208135
137008,328343187621381244863924,246257390716035933647943,164171593810690622431962,82085796905345311215981
138008,330887598646375379939535,248165698984781534954651,165443799323187689969767,82721899661593844984883
139008,333431377770421589282682,250073533327816191962011,166715688885210794641341,83357844442605397320670
140008,335974525183061714799124,251980893887296286099343,167987262591530857399562,83993631295765428699781
141008,338517041073780740852925,253887780805335555639693,169258520536890370426462,84629260268445185213231
